name,mealType,foodType,category,subCategory,page
Idly,breakfast,veg,BreakFast Items,,breakfast
Thatta Idly,breakfast,veg,BreakFast Items,,breakfast
Wada ,breakfast,veg,BreakFast Items,,breakfast
Pongal,breakfast,veg,BreakFast Items,,breakfast
Upma,breakfast,veg,BreakFast Items,,breakfast
Tomato Bath,breakfast,veg,BreakFast Items,,breakfast
Poori,breakfast,veg,BreakFast Items,,breakfast
Plain Dosa,breakfast,veg,BreakFast Items,,breakfast
Masala Dosa,breakfast,veg,BreakFast Items,,breakfast
Onion Dosa,breakfast,veg,BreakFast Items,,breakfast
Butter Dosa,breakfast,veg,BreakFast Items,,breakfast
Paneer Butter Dosa,breakfast,veg,BreakFast Items,,breakfast
Pizza Dosa,breakfast,veg,BreakFast Items,,breakfast
Pesarattu,breakfast,veg,BreakFast Items,,breakfast
Bambino Upma,breakfast,veg,BreakFast Items,,breakfast
Poha,breakfast,veg,BreakFast Items,,breakfast
Bishi Beli Bath,breakfast,veg,BreakFast Items,,breakfast
Sabudana Kichidi,breakfast,veg,BreakFast Items,,breakfast
Bread Butter/Jam,breakfast,veg,BreakFast Items,,breakfast
Cornflake with Milk,breakfast,veg,BreakFast Items,,breakfast
Rawa Kesari,breakfast,veg,BreakFast Items,,breakfast
Coconut Chutney,breakfast,veg,Common Items,,breakfast
Palli Chutney,breakfast,veg,Common Items,,breakfast
Tomato Chutney,breakfast,veg,Common Items,,breakfast
Sambar,breakfast,veg,Common Items,,breakfast
Karam Podi (Idly),breakfast,veg,BreakFast Items,,breakfast
Alu Curry(Poori),breakfast,veg,BreakFast Items,,breakfast
Tea,breakfast,veg,Common Items,,breakfast
Coffee,breakfast,veg,Common Items,,breakfast
Milk,breakfast,veg,Common Items,,breakfast
Apam with Veg. Stew,breakfast,nonveg,BreakFast Items,,breakfast
Keema Dosa,breakfast,nonveg,BreakFast Items,,breakfast
Keema Poori,breakfast,nonveg,BreakFast Items,,breakfast
Bread Omlet,breakfast,nonveg,BreakFast Items,,breakfast
Chicken Dosa,breakfast,nonveg,BreakFast Items,,breakfast
Apam with Chicken. Stew,breakfast,nonveg,BreakFast Items,,breakfast
Hot Badam Milk,lunch,veg,Welcome Drinks,,starters
Cold Badam Milk,lunch,veg,Welcome Drinks,,starters
Ganga Jamuna,lunch,veg,Welcome Drinks,,starters
Mosambi Juice,lunch,veg,Welcome Drinks,,starters
Pineapple Juice,lunch,veg,Welcome Drinks,,starters
Sapota Juice,lunch,veg,Welcome Drinks,,starters
Jungle Juice,lunch,veg,Welcome Drinks,,starters
