name,mealType,foodType,category,subCategory
Idly,breakfast,veg,BreakFast Items,
Thatta Idly,breakfast,veg,BreakFast Items,
Wada ,breakfast,veg,BreakFast Items,
Pongal,breakfast,veg,BreakFast Items,
Upma,breakfast,veg,BreakFast Items,
Tomato Bath,breakfast,veg,BreakFast Items,
Poori,breakfast,veg,BreakFast Items,
Plain Dosa,breakfast,veg,BreakFast Items,
Masala Dosa,breakfast,veg,BreakFast Items,
Onion Dosa,breakfast,veg,BreakFast Items,
Butter Dosa,breakfast,veg,BreakFast Items,
Paneer Butter Dosa,breakfast,veg,BreakFast Items,
Pizza Dosa,breakfast,veg,BreakFast Items,
Pesarattu,breakfast,veg,BreakFast Items,
Bambino Upma,breakfast,veg,BreakFast Items,
Poha,breakfast,veg,BreakFast Items,
Bishi Beli Bath,breakfast,veg,BreakFast Items,
Sabudana Kichidi,breakfast,veg,BreakFast Items,
Bread Butter/Jam,breakfast,veg,BreakFast Items,
Cornflake with Milk,breakfast,veg,BreakFast Items,
Rawa Kesari,breakfast,veg,BreakFast Items,
Coconut Chutney,breakfast,veg,Common Items,
Palli Chutney,breakfast,veg,Common Items,
Tomato Chutney,breakfast,veg,Common Items,
Sambar,breakfast,veg,Common Items,
Karam Podi (Idly),breakfast,veg,BreakFast Items,
Alu Curry(Poori),breakfast,veg,BreakFast Items,
Tea,breakfast,veg,Common Items,
Coffee,breakfast,veg,Common Items,
Milk,breakfast,veg,Common Items,
Apam with Veg. Stew,breakfast,non veg,BreakFast Items,
Keema Dosa,breakfast,non veg,BreakFast Items,
Keema Poori,breakfast,non veg,BreakFast Items,
Bread Omlet,breakfast,non veg,BreakFast Items,
Chicken Dosa,breakfast,non veg,BreakFast Items,
Apam with Chicken. Stew,breakfast,non veg,BreakFast Items,
Hot Badam Milk,lunch,veg,Welcome Drinks,
Cold Badam Milk,lunch,veg,Welcome Drinks,
Ganga Jamuna,lunch,veg,Welcome Drinks,
Mosambi Juice,lunch,veg,Welcome Drinks,
Pineapple Juice,lunch,veg,Welcome Drinks,
Sapota Juice,lunch,veg,Welcome Drinks,
Jungle Juice,lunch,veg,Welcome Drinks,
Water Melon,lunch,veg,Welcome Drinks,
Black Grape,lunch,veg,Welcome Drinks,
Ajanta Grape,lunch,veg,Welcome Drinks,
Mixed Fruit Juice,lunch,veg,Welcome Drinks,
Orange Juice,lunch,veg,Welcome Drinks,
Apple Juice,lunch,veg,Welcome Drinks,
Mango Juice,lunch,veg,Welcome Drinks,
Fruit Punch,lunch,veg,Welcome Drinks,
Lychee Punch,lunch,veg,Welcome Drinks,
Pineapple Punch,lunch,veg,Welcome Drinks,
Lychee Coconut,lunch,veg,Welcome Drinks,
Mango Blossomme,lunch,veg,Welcome Drinks,
Orange Blossomme,lunch,veg,Welcome Drinks,
Pina Caloda,lunch,veg,Welcome Drinks,
Melon Surprise,lunch,veg,Welcome Drinks,
Lime Soda (Sweet,lunch,veg,Welcome Drinks,
Lime Soda (Salt),lunch,veg,Welcome Drinks,
Masala Soda,lunch,veg,Welcome Drinks,
Mint Mango,lunch,veg,Welcome Drinks,
Mint Pineapple,lunch,veg,Welcome Drinks,
Anaar Ginger,lunch,veg,Welcome Drinks,
Sweet Lassi,lunch,veg,Welcome Drinks,
Salted Lassi,lunch,veg,Welcome Drinks,
* Special Lassi,lunch,veg,Welcome Drinks,
Lemon Jaljeera,lunch,veg,Welcome Drinks,
Lemon Water Melon,lunch,veg,Welcome Drinks,
Apple Shake,lunch,veg,Welcome Drinks,
Mango Shake,lunch,veg,Welcome Drinks,
Strawberry Shake,lunch,veg,Welcome Drinks,
Chocolate Shake,lunch,veg,Welcome Drinks,
Banana Shake,lunch,veg,Welcome Drinks,
Apple Banana Shake,lunch,veg,Welcome Drinks,
Dry Fruit Shake,lunch,veg,Welcome Drinks,
Butter Scotch Shake,lunch,veg,Welcome Drinks,
* Kiwi Delight Shake,lunch,veg,Welcome Drinks,
Chiku Shake,lunch,veg,Welcome Drinks,
200ml Water Bottle (Brands),lunch,veg,Welcome Drinks,
Tea or Coffee,lunch,veg,Welcome Drinks,
Any Soft Drinks (Branded),lunch,veg,Welcome Drinks,
Tetra Packed Juices,lunch,veg,Welcome Drinks,
Blue Sea,lunch,veg,Welcome Drinks,MockTails
Pink Lady,lunch,veg,Welcome Drinks,MockTails
Mint Green,lunch,veg,Welcome Drinks,MockTails
Black Current,lunch,veg,Welcome Drinks,MockTails
Peach Melba,lunch,veg,Welcome Drinks,MockTails
Verjin Mojito,lunch,veg,Welcome Drinks,MockTails
Strawberry Surprise,lunch,veg,Welcome Drinks,MockTails
Kiwi Kiss,lunch,veg,Welcome Drinks,MockTails
Passion Punch,lunch,veg,Welcome Drinks,MockTails
Tomato Soup,lunch,veg,Soups,
Sweetcorn Soup,lunch,veg,Soups,
Veg. Corn Soup,lunch,veg,Soups,
Veg. Clear Soup,lunch,veg,Soups,
* Mushroom Soup,lunch,veg,Soups,
Hot & Sour Soup,lunch,veg,Soups,
Tomato Shorba,lunch,veg,Soups,
Corn Shorba,lunch,veg,Soups,
* Badam Soup,lunch,veg,Soups,
Lemon Coriander Soup,lunch,veg,Soups,
Veg. Manchow Soup,lunch,veg,Soups,
Veg. Cantonese Soup,lunch,veg,Soups,
